No,Pitch Type,Is Strike,Velocity,Total Spin,Spin Efficiency (release),Spin Direction,VB (trajectory),HB (trajectory),Release Height,Release Side,Player ID,Player Name
1,Fastball,N,81.6,2180.7,99.5,01:08,23.3,10.7,5.93,2.09,1269595,Kaes_Carter
2,Fastball,N,82.5,2257.8,98.2,00:36,30.1,11.2,6.03,2.20,1269595,Kaes_Carter
3,Fastball,N,83.96,2328.9,99,00:36,30.6,12.2,6.01,1.92,1269595,Kaes_Carter
4,Fastball,N,83.76,2243.3,98.8,00:40,28.5,11.2,5.89,2.25,1269595,Kaes_Carter
5,Fastball,Y,82.82,2248.4,98,00:36,23.3,8.6,6.02,1.95,1269595,Kaes_Carter
6,Fastball,N,83.54,2273.6,97.1,00:14,29,7.4,6.01,2.08,1269595,Kaes_Carter
7,Fastball,N,83.05,2227,96.7,00:12,23.1,6.8,6.01,2.12,1269595,Kaes_Carter
8,-,N,84.21,-,-,-,-,-,-,-,1269595,Kaes_Carter
9,Fastball,Y,84.28,2241.9,99.3,00:36,24.4,7.7,5.98,1.88,1269595,Kaes_Carter
10,Fastball,N,83.09,2268.7,93.5,00:12,20.5,6.4,5.89,1.96,1269595,Kaes_Carter
11,Fastball,N,83.94,2304.2,97.4,00:38,24,4.8,5.97,1.92,1269595,Kaes_Carter
12,Fastball,N,82.73,2258.3,98.6,00:34,23,9.2,5.92,2.14,1269595,Kaes_Carter
13,Fastball,Y,82.96,2147.2,99.8,00:34,25.7,9.7,5.90,2.09,1269595,Kaes_Carter
14,Fastball,Y,83.24,2222,97.8,00:14,21.3,7.6,6.00,1.76,1269595,Kaes_Carter
15,Slider,N,75.84,2248.4,19.6,02:06,4.5,0.8,5.86,2.07,1269595,Kaes_Carter
16,Fastball,N,83.0,2252.2,98.6,00:34,30.5,8.3,6.09,1.82,1269595,Kaes_Carter
17,Fastball,N,82.92,2239.5,98.7,00:40,29.7,11.6,5.95,2.22,1269595,Kaes_Carter
18,Fastball,N,83.45,2246.1,98.6,00:38,21.4,5.4,5.82,2.23,1269595,Kaes_Carter
19,Fastball,N,82.66,2357.6,98.8,00:38,26.5,9.7,5.89,2.31,1269595,Kaes_Carter
20,Fastball,N,80.73,2162.8,98.7,00:36,23.5,6.3,5.80,2.11,1269595,Kaes_Carter
21,-,N,81.37,-,-,-,-,-,-,-,1269595,Kaes_Carter
22,Fastball,N,81.21,2256.5,91.1,00:46,23.7,4.1,5.86,2.23,1269595,Kaes_Carter
23,Fastball,Y,82.09,2367.3,98.4,00:38,26.3,8,5.82,2.27,1269595,Kaes_Carter
24,Fastball,Y,81.11,2165.2,99.3,00:36,24.9,8.1,5.83,2.08,1269595,Kaes_Carter
25,Fastball,N,77.19,1863.8,99.3,01:04,22.4,18.6,5.88,2.27,1269595,Kaes_Carter
26,Fastball,N,81.94,2239.7,98.6,00:40,31.2,11.8,5.84,2.39,1269595,Kaes_Carter
27,Fastball,N,82.82,2393.3,98.8,00:42,25.7,7.5,5.81,2.33,1269595,Kaes_Carter
28,Fastball,N,81.57,2292.4,97.5,00:32,29.2,8.2,5.87,2.35,1269595,Kaes_Carter
29,Fastball,N,81.7,2329.5,99.8,00:38,26.6,9.9,5.78,2.44,1269595,Kaes_Carter
30,Fastball,N,80.85,2262.4,97.9,00:34,26.5,5.5,5.88,2.20,1269595,Kaes_Carter
31,Fastball,Y,80.83,2234,98.9,00:34,31.8,8.8,5.93,2.19,1269595,Kaes_Carter
32,Fastball,N,81.06,2228.7,98.7,00:36,25.2,9.2,5.90,2.16,1269595,Kaes_Carter
33,Fastball,Y,79.91,2259,97.7,00:38,25.1,5.9,5.96,1.81,1269595,Kaes_Carter
34,Fastball,N,80.34,2171.2,99.7,00:34,26.5,10.8,5.87,2.19,1269595,Kaes_Carter
35,Fastball,N,80.82,2256.8,99,00:42,24.6,9.9,5.88,2.38,1269595,Kaes_Carter
36,Fastball,Y,80.93,2233.9,98.5,00:40,23.8,10.7,5.75,2.46,1269595,Kaes_Carter
37,Fastball,N,75.89,1936.2,98.7,01:04,14.5,14.7,5.75,2.39,1269595,Kaes_Carter
38,Slider,Y,73.66,2141.2,20.2,02:02,9,1.8,5.77,2.33,1269595,Kaes_Carter
39,Fastball,N,77.0,1822.8,100,00:42,21.2,14.5,5.88,2.36,1269595,Kaes_Carter
40,Fastball,N,80.99,2265.7,98.7,00:34,28.8,7.4,5.93,2.28,1269595,Kaes_Carter
41,Fastball,N,80.23,2215.9,99.9,00:26,27.6,12.9,5.88,2.22,1269595,Kaes_Carter
